id,name,description,prix,poids
1,8116,"LE-LB OCTAGONS OTHER SIZES",75.1,1.8
2,8115,"LE-LB OCTAGONS OTHER SIZES",75.1,2.45
4,8124,"LE-LB OCTAGONS OTHER SIZES",75.4,1.62
5,8125,"LE-LB OCTAGONS OTHER SIZES",131,1.6
6,8126,"LE-LB OCTAGONS OTHER SIZES",131,1.62
7,8117,"LE-LB OCTAGONS OTHER SIZES",303,2.55
8,8118,"LE-LB OCTAGONS OTHER SIZES",303,2
9,8114,"LE-LB OCTAGONS OTHER SIZES",149,2.206
10,8125/G,"LE-LB OCTAGONS OTHER SIZES",173,1.68
11,8124/G,"LE-LB OCTAGONS OTHER SIZES",212,1.6
12,8126/G,"LE-LB OCTAGONS OTHER SIZES",173,1.68
13,8558,"LE-LB BALLS",19.8,4.32
14,8558/G,"LE-LB BALLS",199,4.52
15,8560,"LE-LB BALLS",99,2.592
16,8611,"LE-LB DROPS",212,2.016
17,8621,"LE-LB DROPS",218,2.304
18,8671,"LE-LB DROPS",227,1.44
19,8601,"LE-LB DROPS",123,1.95
20,8641,"LE-LB DROPS",373,1.8
21,8721,"LE-LB PEAR SHAPES",87,2.52
22,8755/G,"LE-LB PEAR SHAPES",485,2.772
23,8741,"LE-LB PEAR SHAPES",121,3.6
24,8745,"LE-LB PEAR SHAPES",237,2.912
25,8746,"LE-LB PEAR SHAPES",237,2.97
26,8755,"LE-LB PEAR SHAPES",420,2.772
27,8731,"LE-LB PEAR SHAPES",186,2.448
28,8950,"LE-LB REMAINING STRASS ELEMENTS MSL SPEC",63,1.5
29,8950/G,"LE-LB REMAINING STRASS ELEMENTS MSL CIRC",332,3.2
30,8951,"LE-LB REMAINING STRASS ELEMENTS MSL SPEC",47.8,1.32
31,8901,"LE-LB PENDELOQUES",85,2.796
32,8908,"LE-LB PENDELOQUES",89,3.108
33,8930,"LE-LB PENDELOQUES",159,2.07
34,8904,"LE-LB PENDELOQUES",169,3.15
35,7120,"LE-LB KNOBS&HANDLE",207,1.12
36,7160,"LE-LB KNOBS&HANDLE",194,1.05
37,7302,"LE-LB KNOBS&HANDLE",354,3.105
38,7165,"LE-LB KNOBS&HANDLE",44,0.096
39,7155,"LE-LB KNOBS&HANDLE",100,0.705
40,7151,"LE-LB KNOBS&HANDLE",156,2.375
41,7300,"LE-LB KNOBS&HANDLE",695,2.112
42,7150,"LE-LB KNOBS&HANDLE",78.5,0.78
43,7307,"LE-LB KNOBS&HANDLE",80,1.685
44,7306,"LE-LB KNOBS&HANDLE",171,2.21
45,7301,"LE-LB KNOBS&HANDLE",230,2.01
46,7130,"LE-LB KNOBS&HANDLE",207,2.304
47,7312,"LE-LB KNOBS&HANDLE",94,2.304
48,7110,"LE-LB KNOBS&HANDLE",176,4.04
49,7100,"LE-LB KNOBS&HANDLE",119,2.304
50,7323,"LE-LB KNOBS&HANDLE",308,2.376
51,7322,"LE-LB KNOBS&HANDLE",321,3.672
52,7313,"LE-LB KNOBS&HANDLE",714,2.4
53,7153,"LE-LB KNOBS&HANDLE",88,0.78
54,7303,"LE-LB KNOBS&HANDLE",479,1.92
55,7152,"LE-LB KNOBS&HANDLE",83,0.82
56,7156,"LE-LB KNOBS&HANDLE",113,1.16
57,8290,"LE-LB SPECTRA BALLS",24,1.824
