1,"Taille:select:0, Couleur:select:1","MM 32.0 (x125):0,CRYSTAL:1",265773,9003142657737,143.9,0.95
1,"Taille:select:0, Couleur:select:1","MM 10.0 (x3000):0,CRYSTAL:1",265809,9003142658093,437.9,0.243
1,"Taille:select:0, Couleur:select:1","MM 12.0 (x2600):0,CRYSTAL:1",265814,9003142658147,371.9,1.0496
1,"Taille:select:0, Couleur:select:1","MM 16.0 (x1000):0,CRYSTAL:1",265830,9003142658307,227.9,0.75
1,"Taille:select:0, Couleur:select:1","MM 18.0 (x600):0,CRYSTAL:1",265837,9003142658376,156.9,0
1,"Taille:select:0, Couleur:select:1","MM 20.0 (x420):0,CRYSTAL:1",265840,9003142658406,133.9,0.3
1,"Taille:select:0, Couleur:select:1","MM 22.0 (x350):0,CRYSTAL:1",265844,9003142658444,152.9,0.3
1,"Taille:select:0, Couleur:select:1","MM 24.0 (x300):0,CRYSTAL:1",265845,9003142658451,180.9,0.6
1,"Taille:select:0, Couleur:select:1","MM 26.0 (x240):0,CRYSTAL:1",265938,9003142659380,169.9,0.6
1,"Taille:select:0, Couleur:select:1","MM 28.0 (x150):0,CRYSTAL:1",265939,9003142659397,103.9,0.45
1,"Taille:select:0, Couleur:select:1","MM 30.0 (x125):0,CRYSTAL:1",265940,9003142659403,103.9,0.575
1,"Taille:select:0, Couleur:select:1","MM 60.0 (x20):0,CRYSTAL:1",265941,9003142659410,56.9,0.92
1,"Taille:select:0, Couleur:select:1","MM 34.0 (x100):0,CRYSTAL:1",265942,9003142659427,133.9,0.9
1,"Taille:select:0, Couleur:select:1","MM 36.0 (x80):0,CRYSTAL:1",265943,9003142659434,124.9,0.68
1,"Taille:select:0, Couleur:select:1","MM 38.0 (x80):0,CRYSTAL:1",265945,9003142659458,168.9,1.08
1,"Taille:select:0, Couleur:select:1","MM 40.0 (x56):0,CRYSTAL:1",265946,9003142659465,126.9,0.552
1,"Taille:select:0, Couleur:select:1","MM 50.0 (x20):0,CRYSTAL:1",265947,9003142659472,0,0
