nom*,ean,nom,size,Descr,,ref,prix,,qtt,poids
530011,,8980,2,Crystal,,1016429,198,,10,2
530012,9007810164299,8980,2,Crystal Blue AB,,1016430,225,,10,2
530013,9007810164312,8980,2,Crystal Golden Teak,,1016431,225,,10,2
540007,9009653000314,8980,2,Crystal and Partly Frosted,,5300031,93,,3,"0,89"
550011,9007810164664,8980,3,Crystal,,1016466,143,,5,2
550012,9007810164671,8980,3,Crystal Blue AB,,1016467,164,,5,2
550013,9007810164688,8980,3,Crystal Golden Teak,,1016468,164,,5,2
981222,9003149812221,8980,"1,5",Loop,,322001,173,,5,"1,653"
332001,9003149812238,8980,2,Loop,,981223,229,,5,"2,017"
321001,9003149812245,8980,"1,5",Open End,,981224,172,,5,"1,653"
331001,9003149812252,8980,2,Open End,,981225,228,,5,"2,017"
322004,9003149816144,8980,"1,5",Loop,,981614,104,,5,"1,129"
332004,9003149816151,8980,2,Loop,,981615,140,,5,"1,348"
342004,9003149816168,8980,"2,5",Loop,,981616,183,,5,"1,606"
362004,9003149816175,8980,"3,5",Loop,,981617,262,,5,"2,083"
321004,9003149816182,8980,"1,5",Open End,,981618,102,,5,"1,129"
331004,9003149816199,8980,2,Open End,,981619,139,,5,"1,348"
341004,9003149816205,8980,"2,5",Open End,,981620,182,,5,"1,606"
361004,9003149816212,8980,"3,5",Open End,,981621,262,,5,"2,083"
322005,9003149817288,8980,"1,5",Loop,,981728,"54,3",,5,"0,729"
332005,9003149817301,8980,2,Loop,,981730,"75,8",,5,"0,826"
321005,9003149817332,8980,"1,5",Open End,,981733,53,,5,"0,729"
331005,9003149817356,8980,2,Open End,,981735,"74,7",,5,"0,826"
322006,9003149820233,8980,"1,5",Loop,,982023,103,,5,"1,244"
332006,9003149820240,8980,2,Loop,,982024,139,,5,"1,497"
342006,9003149820257,8980,"2,5",Loop,,982025,180,,5,"1,781"
362006,9003149820264,8980,"3,5",Loop,,982026,261,,5,"2,348"
321006,9003149820271,8980,"1,5",Open End,,982027,102,,5,"1,244"
331006,9003149820288,8980,2,Open End,,982028,138,,5,"1,497"
341006,9003149820295,8980,"2,5",Open End,,982029,179,,5,"1,781"
361006,9003149820301,8980,"3,5",Open End,,982030,260,,5,"2,334"
322007,9003149820318,8980,"1,5",Loop,,982031,99,,5,"1,215"
332007,9003149820325,8980,2,Loop,,982032,139,,5,"1,498"
342007,9003149820332,8980,"2,5",Loop,,982033,180,,5,"1,782"
362007,9003149820349,8980,"3,5",Loop,,982034,257,,5,"2,318"
321007,9003149820356,8980,"1,5",Open End,,982035,98,,5,"1,214"
331007,9003149820363,8980,2,Open End,,982036,138,,5,"1,497"
341007,9003149820370,8980,"2,5",Open End,,982037,179,,5,"1,781"
361007,9003149820387,8980,"3,5",Open End,,982038,255,,5,"2,317"
322008,9003149821957,8980,"1,5",Loop,,982195,93,,5,"1,044"
332008,9003149821964,8980,2,Loop,,982196,127,,5,"1,242"
321008,9003149821971,8980,"1,5",Open End,,982197,92,,5,"1,044"
331008,9003149821995,8980,2,Open End,,982199,126,,5,"1,242"
322009,9003149822008,8980,"1,5",Loop,,982200,93,,5,"1,044"
332009,9003149822015,8980,2,Loop,,982201,127,,5,"1,242"
321009,9003149822039,8980,"1,5",Open End,,982203,92,,5,"1,044"
331009,9003149822053,8980,2,Open End,,982205,126,,5,"1,242"
331016,9007810165234,8980,2,Open End,,1016523,104,,4,"1,512"
332016,9007810165241,8980,2,Loop,,1016524,105,,4,"1,512"
342028,9009652839502,8980,2,Loop,,5283950,"55,9",,5,"0,446"
341035,9009652842694,8980,2,Open End,,5284269,"54,9",,5,"0,448"
342029,9009652842830,8980,2,Loop,,5284283,"65,2",,4,"0,606"
341036,9009652843073,8980,2,Open End,,5284307,"64,4",,4,"0,608"
332038,9009652913301,8980,"1,5",Loop,,5291330,101,,5,"5,88"
342030,9009652913363,8980,2,Loop,,5291336,156,,5,"7,895"
331027,9009652969780,8980,"1,5",Open End,,5296978,100,,5,"5,892"
341037,9009652969827,8980,2,Open End,,5296982,155,,5,"7,922"
332039,9009652999824,8980,"1,5",Loop,,5299982,"59,3",,5,"0,493"
331028,9009653000055,8980,"1,5",Open End,,5300005,"583,1",,5,"0,495"
342032,9009653000178,8980,2,Loop,,5300017,87,,5,"0,644"
341038,9009653000215,8980,2,Open End,,5300021,86,,5,"0,645"
