"id";"REF";"TAILLE (xnbr)";"";"qtt ";"Prix impact ";"impact poids";"ean";"nom "
"140";"1120184";"Taille:select:1";"76x21(48)";"10";"0";"0";"9007811201849";""
"141";"1165290";"Taille:select:1";"50x13(96)";"10";"0";"0";"9007811652900";""
"141";"1165291";"Taille:select:1";"63x19(90)";"10";"185";"1.026";"9007811652917";""
"141";"1165292";"Taille:select:1";"76x20(60)";"10";"161";"1.3";"9007811652924";""
"141";"1165293";"Taille:select:1";"100x25(18)";"10";"122";"0.18";"9007811652931";""
"142";"841556";"Taille:select:1";"63x31(60)";"10";"44";"0.055";"9003148415560";""
"142";"609758";"Taille:select:1";"80x39(x32)";"10";"0";"0";"9003146097584";""
"143";"1165297";"Taille:select:1";"50x19(x80)";"10";"135.9";"0.297";"9007811652979";""
"143";"1165299";"Taille:select:1";"63x24(x45)";"10";"96.9";"0.552";"9007811652993";""
"143";"1165301";"Taille:select:1";"76x29(18)";"10";"0";"0";"9007811653013";""
